id,rim_width_mm,rim_shoulder_mm,parting_line_mm,dome_mm,plate_thick_mm,nose_radius_mm,alpha_deg,Cl,Cd,Cm,n_iter
geom_014,21.09,19.1,14.0,2.73,2.97,2.28,-4.0,-0.08152,0.06179,-0.02345,1000
geom_014,21.09,19.1,14.0,2.73,2.97,2.28,11.0,0.56372,0.18942,0.04926,1000
geom_014,21.09,19.1,14.0,2.73,2.97,2.28,14.0,0.68693,0.25346,0.06118,1000
geom_014,21.09,19.1,14.0,2.73,2.97,2.28,2.0,0.12369,0.05877,0.00493,1000
geom_014,21.09,19.1,14.0,2.73,2.97,2.28,5.0,0.27338,0.08638,0.02167,1000
geom_014,21.09,19.1,14.0,2.73,2.97,2.28,8.0,0.40757,0.1262,0.03864,1000
geom_015,19.2,18.81,12.08,3.46,3.29,1.64,-1.0,0.00237,0.05127,-0.01139,216
geom_015,19.2,18.81,12.08,3.46,3.29,1.64,-4.0,-0.0909,0.06233,-0.02369,1000
geom_015,19.2,18.81,12.08,3.46,3.29,1.64,11.0,0.62146,0.19119,0.0411,1000
geom_015,19.2,18.81,12.08,3.46,3.29,1.64,14.0,0.74765,0.25554,0.0598,1000
geom_015,19.2,18.81,12.08,3.46,3.29,1.64,2.0,0.12691,0.05565,0.00108,261
geom_015,19.2,18.81,12.08,3.46,3.29,1.64,5.0,0.29402,0.08383,0.01366,1000
geom_015,19.2,18.81,12.08,3.46,3.29,1.64,8.0,0.4729,0.13697,0.02331,1000
geom_016,12.79,17.2,9.0,4.62,2.47,3.07,-1.0,0.01162,0.05642,-0.0165,351
geom_016,12.79,17.2,9.0,4.62,2.47,3.07,-4.0,-0.0959,0.06128,-0.02248,226
geom_016,12.79,17.2,9.0,4.62,2.47,3.07,11.0,0.68422,0.20543,0.02056,1000
geom_016,12.79,17.2,9.0,4.62,2.47,3.07,14.0,0.83637,0.27145,0.04163,1000
geom_016,12.79,17.2,9.0,4.62,2.47,3.07,2.0,0.1899,0.07749,-0.01709,1000
geom_016,12.79,17.2,9.0,4.62,2.47,3.07,5.0,0.35768,0.10747,-0.00767,1000
geom_016,12.79,17.2,9.0,4.62,2.47,3.07,8.0,0.53034,0.15503,0.00229,1000
geom_017,16.85,13.58,7.21,2.13,1.98,3.5,-1.0,0.05772,0.05168,-0.03017,1000
geom_017,16.85,13.58,7.21,2.13,1.98,3.5,-4.0,-0.06526,0.05178,-0.03592,1000
geom_017,16.85,13.58,7.21,2.13,1.98,3.5,14.0,0.7716,0.23383,0.06368,660
