id,rim_width_mm,rim_shoulder_mm,parting_line_mm,dome_mm,plate_thick_mm,nose_radius_mm,CL0,CLa,CD0,CDa,alpha0,CM0,CMa
geom_092,17.03,16.21,11.78,6.0,3.07,3.45,0.10325297619047621,2.7741456882791917,0.0501851335376432,2.03807560896562,-0.07975133923374693,-0.014582142857142846,0.2613096801364503
geom_093,21.49,18.99,15.26,1.22,2.35,2.94,0.042375595238095316,2.625817828601634,0.0562158151389301,2.927603229071316,-0.026771207247959384,0.0020116666666666733,0.24155627805670193
geom_094,17.53,19.55,8.97,4.88,2.69,2.9,0.06166940476190484,2.6540291790856947,0.054906525523421776,2.2879336478276233,-0.024061256342261073,-0.0096722619047619,0.2555323557022146
geom_095,16.15,17.24,12.76,2.19,2.88,2.88,0.07384130952380959,2.7618543793884096,0.05502114784286373,2.52841223997531,-0.04335806475283889,-0.007901309523809517,0.24707440729790242
geom_096,13.29,17.84,11.51,4.56,3.04,1.97,0.08801535714285717,3.0212269165032275,0.0556593185432833,2.816395992796448,-0.04409177075396619,-0.011771309523809517,0.193871183464326
geom_097,17.61,17.58,14.49,5.86,1.61,1.82,0.05217357142857152,2.735750695079295,0.056118151784476225,3.235865693075728,-0.018343183486401852,0.0006007142857142881,0.24141985953405176
geom_098,18.03,19.06,14.3,3.72,1.66,1.65,0.061863333333333353,2.6065759959818244,0.054372843703779,3.158137870767247,-0.01573733646164677,-0.0015829761904761798,0.2573740057579922
geom_099,10.98,18.12,9.62,2.76,3.1,2.58,0.09086833333333333,3.097887305306505,0.06077087199046668,2.023268241699031,-0.08373639802685462,-0.01817059523809523,0.19260249120367912
geom_100,14.93,15.25,9.74,1.96,2.21,2.88,0.09885285714285723,2.7835108198591287,0.053008907217230596,2.4772160933263185,-0.038343826336015664,-0.015805119047619026,0.27443996294153156
geom_101,16.4,16.34,10.03,3.16,2.75,2.14,0.09776440476190473,2.861726379820619,0.052050353804611954,2.407999250443796,-0.048662060741984384,-0.01569809523809523,0.25433869362902534
geom_102,18.41,13.57,6.58,3.46,2.57,1.69,0.11921599999999989,2.785213323021805,0.0494100039300029,2.1775297437945,-0.04103645953131407,-0.023991999999999996,0.28585682910212673
geom_103,19.5,18.11,10.94,0.98,3.12,2.82,0.07077964285714293,2.798018929742976,0.051835016030492335,2.7049282163350687,-0.03023814029630335,-0.009499880952380945,0.26467239671977766
geom_104,17.65,16.5,8.88,5.57,1.98,2.2,0.09148321428571432,2.9120784565308058,0.05103811374500475,2.5753094735469046,-0.038791617855608966,-0.015482380952380942,0.23960549318280416
